RouteID,RouteName,RouteType,Region,DataBasis,SourceOrganization,SourceURL,SourceVersion,License,Distance_km,Duration_s,MaximumSpeed_kmh,OptimizationEnabled,Notes,HasGeolocation,OriginLatitude_deg,OriginLongitude_deg,DestinationLatitude_deg,DestinationLongitude_deg
VECTO-URBAN,"EU VECTO Urban Bus",Urban,European Union (applicable in Germany),Official distance-based regulatory mission profile,European Commission Joint Research Centre,https://code.europa.eu/vecto/vecto,d16ba783c1d8af0ea68797f5d7ed6cf01877d402,EUPL-1.2,39.551,7989,68.1,1,Raw VECTO trace retained; time trace is a deterministic 1 Hz conversion,0,NaN,NaN,NaN,NaN
VECTO-SUBURBAN,"EU VECTO Suburban Bus",Semi-urban / Suburban,European Union (applicable in Germany),Official distance-based regulatory mission profile,European Commission Joint Research Centre,https://code.europa.eu/vecto/vecto,d16ba783c1d8af0ea68797f5d7ed6cf01877d402,EUPL-1.2,23.503,3006,67,1,Raw VECTO trace retained; time trace is a deterministic 1 Hz conversion,0,NaN,NaN,NaN,NaN
VECTO-COACH,"EU VECTO Coach",Coach,European Union (applicable in Germany),Official distance-based regulatory mission profile,European Commission Joint Research Centre,https://code.europa.eu/vecto/vecto,d16ba783c1d8af0ea68797f5d7ed6cf01877d402,EUPL-1.2,91.72533333,4946,100,1,Raw VECTO trace retained; time trace is a deterministic 1 Hz conversion,0,NaN,NaN,NaN,NaN
EUR-BER-VIE,"Berlin, Germany to Vienna, Austria",Long-distance coach,Germany / Austria,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:09Z,ODbL 1.0,677.8177,30422.2734159589,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,52.520001,13.405003,48.207818,16.373724
EUR-HAM-PAR,"Hamburg, Germany to Paris, France",Long-distance coach,Germany / France,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:10Z,ODbL 1.0,903.0361,40232.5099329578,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,53.551114,9.993674,48.857243,2.352316
EUR-MUC-ROM,"Munich, Germany to Rome, Italy",Long-distance coach,Germany / Austria / Italy,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:10Z,ODbL 1.0,915.8953,41544.2679507989,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,48.135193,11.582126,41.902866,12.496497
EUR-AMS-ZRH,"Amsterdam, Netherlands to Zurich, Switzerland",Long-distance coach,Netherlands / Germany / Switzerland,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:11Z,ODbL 1.0,821.3774,35013.8853766619,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,52.367616,4.904134,47.3769,8.5417
EUR-STO-CPH,"Stockholm, Sweden to Copenhagen, Denmark",Long-distance coach,Sweden / Denmark,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:11Z,ODbL 1.0,656.7745,30039.5750975325,96.552306588334,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,59.329225,18.068327,55.675942,12.567938
EUR-PRG-BRU,"Prague, Czechia to Brussels, Belgium",Long-distance coach,Czechia / Germany / Belgium,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:12Z,ODbL 1.0,907.5635,40016.1918082027,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,50.0755,14.437752,50.850338,4.351767
EUR-WAW-PRG,"Warsaw, Poland to Prague, Czechia",Long-distance coach,Poland / Czechia,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:12Z,ODbL 1.0,638.3335,29942.193191727,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,52.229679,21.012233,50.0755,14.437752
EUR-FRA-MIL,"Frankfurt, Germany to Milan, Italy",Long-distance coach,Germany / Switzerland / Italy,OSM road corridor routed by OSRM; coach speed/rest adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:26:12Z,ODbL 1.0,664.9363,30031.8896271832,100,1,100 km/h cap; 45 min rest after 4.5 h driving; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,50.110913,8.682092,45.463581,9.189984
DE-MAN-CITY,"Mannheim Urban Circuit",Geographic German city cycle,Germany / urban,OSM urban road circuit routed by OSRM; deterministic bus-stop adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:34:37Z,ODbL 1.0,30.3832263482607,4172,50,1,50 km/h cap; 20 s dwell at nominal 800 m stops; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,49.479189,8.470837,49.479189,8.470837
DE-STR-CITY,"Stuttgart Urban Circuit",Geographic German city cycle,Germany / urban,OSM urban road circuit routed by OSRM; deterministic bus-stop adaptation,© OpenStreetMap contributors; Project OSRM,https://www.openstreetmap.org/copyright,2026-08-15T05:34:38Z,ODbL 1.0,32.8672061288645,4535,50,1,50 km/h cap; 20 s dwell at nominal 800 m stops; simulation grade unavailable and set to zero; display elevation from Copernicus DEM GLO-90,1,48.783001,9.183546,48.783001,9.183546
